127.0.0.1 - - [04/Jul/2026 21:53:27] "GET /api/health HTTP/1.1" 200 -
127.0.0.1 - - [04/Jul/2026 21:54:44] "GET /api/server-status HTTP/1.1" 200 -
127.0.0.1 - - [04/Jul/2026 21:54:44] "GET /api/markets HTTP/1.1" 200 -
127.0.0.1 - - [04/Jul/2026 21:54:44] "GET /api/server-status HTTP/1.1" 200 -
127.0.0.1 - - [04/Jul/2026 21:54:44] "GET /api/markets HTTP/1.1" 200 -
127.0.0.1 - - [04/Jul/2026 22:00:09] "GET /api/server-status HTTP/1.1" 200 -
127.0.0.1 - - [04/Jul/2026 22:00:09] "GET /api/markets HTTP/1.1" 200 -
127.0.0.1 - - [04/Jul/2026 22:00:09] "GET /api/server-status HTTP/1.1" 200 -
127.0.0.1 - - [04/Jul/2026 22:00:09] "GET /api/markets HTTP/1.1" 200 -
127.0.0.1 - - [04/Jul/2026 22:00:25] "POST /api/fetch-product HTTP/1.1" 200 -
127.0.0.1 - - [04/Jul/2026 22:00:34] "POST /api/run-pipeline HTTP/1.1" 200 -
127.0.0.1 - - [04/Jul/2026 22:03:16] "POST /api/generate-image HTTP/1.1" 200 -
127.0.0.1 - - [04/Jul/2026 22:03:16] "GET /outputs/W3372P314940/sub_20260704-220316.jpg HTTP/1.1" 200 -
127.0.0.1 - - [04/Jul/2026 22:04:07] "POST /api/fetch-product HTTP/1.1" 200 -
127.0.0.1 - - [04/Jul/2026 22:04:20] "POST /api/run-pipeline HTTP/1.1" 200 -
